id,first_name,second_name,web_name,team,position,ict_index,points_per_game,selected_by_percent,total_points,minutes,goals_scored,assists,clean_sheets,bonus,form,value_form,value_season,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,chance_of_playing_next_round,Cost
583,Japhet,Tanganga,Tanganga,TOT,DEF,17.1,2.8,2.5,17,525,0,0,2,0,1.0,0.2,4.1,7,0,0,0,1,0,0,,4.1
584,William,Smallbone,Smallbone,SOU,MID,4.8,2.5,0.0,5,156,0,0,1,0,1.2,0.3,1.1,3,0,0,0,0,0,0,75.0,4.5
585,Tyreece,John-Jules,John-Jules,ARS,FWD,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.5
586,Tariq,Lamptey,Lamptey,BHA,DEF,0.0,1.0,0.1,1,31,0,0,0,0,0.0,0.0,0.2,0,0,0,0,0,0,0,,4.0
587,Oskar,Buur,Buur,WOL,DEF,0.0,0.0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.0
588,Nya,Kirby,Kirby,CRY,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.5
589,Nathaniel,Phillips,Phillips,LIV,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.0
590,Takumi,Minamino,Minamino,LIV,MID,2.4,1.0,0.0,3,77,0,0,0,0,0.2,0.0,0.5,1,0,0,0,0,0,0,,6.1
591,Jack,Rodwell,Rodwell,SHU,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.5
592,João Pedro,Junqueira de Jesus,João Pedro,WAT,FWD,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,100.0,4.9
593,Jeremy,Ngakia,Ngakia,WHU,DEF,6.6,1.5,0.1,6,360,0,0,0,0,1.2,0.3,1.5,7,0,0,0,0,0,0,,4.0
594,Gonçalo Bento,Soares Cardoso,Cardoso,WHU,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.0
595,Bernardo,Costa Da Rosa,Rosa,WHU,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.5
596,Abd-Al-Ali Morakinyo Olaposi,Koiki,Koiki,BUR,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.0
597,Filip,Benkovic,Benkovic,LEI,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,3.9
598,Thomas,Allan,Allan,NEW,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.5
599,Kelland,Watts,Watts,NEW,DEF,0.0,0.0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,3.9
600,Indiana,Vassilev,Vassilev,AVL,MID,0.7,1.0,0.0,2,36,0,0,0,0,0.0,0.0,0.4,0,0,0,0,0,0,0,,4.5
601,Ondrej,Duda,Duda,NOR,MID,43.0,2.7,0.1,19,577,0,1,3,0,2.0,0.4,4.0,7,0,0,0,0,0,0,,4.8
602,Lukas,Rupp,Rupp,NOR,MID,16.4,1.7,0.0,10,336,0,0,1,0,1.0,0.2,2.2,6,0,0,0,0,0,0,,4.5
603,José,Reina,Reina,AVL,GKP,20.8,3.2,0.5,19,540,0,0,0,2,4.3,1.0,4.2,13,0,1,0,1,0,23,,4.5
604,Ignacio,Pussetto,Pussetto,WAT,MID,2.6,0.8,0.0,5,56,0,0,0,0,0.3,0.1,1.1,2,0,0,0,1,0,0,,4.7
605,Gedson,Carvalho Fernandes,Fernandes,TOT,MID,4.5,1.0,0.0,4,40,0,0,0,0,0.5,0.1,0.9,0,0,0,0,0,0,0,,4.7
606,Darren,Randolph,Randolph,WHU,GKP,4.9,1.5,0.1,3,180,0,0,0,0,0.0,0.0,0.7,5,0,0,0,0,0,6,,4.1
607,Ryan,Giles,Giles,WOL,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,3.9
608,Giovanni,McGregor,McGregor,CRY,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.5
609,Bruno André,Cavaco Jordao,Jordao,WOL,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.5
610,Liam,Gibson,Gibson,NEW,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.0
611,Jack,Robinson,Jack Robinson,SHU,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.0
612,Nabil,Bentaleb,Bentaleb,NEW,MID,10.1,1.7,0.0,5,270,0,0,1,0,0.8,0.2,1.0,5,0,0,0,2,0,0,,4.9
613,Mbwana,Samatta,Samatta,AVL,FWD,26.3,3.5,0.2,14,352,1,0,0,2,2.0,0.3,2.4,10,0,0,0,0,0,0,,5.9
614,Valentino,Lazaro,Lazaro,NEW,MID,7.9,0.8,0.0,3,217,0,0,0,0,0.5,0.1,0.6,3,0,0,0,0,1,0,100.0,5.4
615,Steven,Bergwijn,Bergwijn,TOT,MID,30.8,4.4,1.7,22,416,2,0,1,2,3.0,0.4,2.9,8,0,0,0,1,0,0,0.0,7.5
616,Tomas,Soucek,Soucek,WHU,MID,11.4,1.5,0.0,6,229,0,0,0,0,1.0,0.2,1.2,6,0,0,0,0,0,0,100.0,4.9
617,Pablo,Marí,Marí,ARS,DEF,2.8,7.0,0.1,7,90,0,0,1,1,2.3,0.5,1.5,0,0,0,0,0,0,0,100.0,4.8
618,Bruno Miguel,Borges Fernandes,Fernandes,MUN,MID,50.6,7.6,15.6,38,447,2,3,4,6,9.0,1.1,4.5,1,0,0,0,1,0,0,,8.5
